RUYAULCOURT;1
SAILLY AU BOIS;4
SAILLY EN OSTREVENT;4
SAILLY LABOURSE;4
SAINS LES FRESSIN;1
SAINT DENOEUX;3
SAINT FLORIS;1
SAINT FOLQUIN;3
SAINT LEGER;0
SAINT MARTIN AU LAERT;6
SAINT MARTIN SUR COJEUL;1
SAINT MICHEL SUR 1E;0
SAINT OMER;1
SAINT REMY AU BOIS;3
SAINTE MARIE KERQUE;0
SANGHEM;1
SAUDEMONT;1
SAULCHOY;1
SELLES;0
SENLECQUES;1
SENLIS;0
SERICOURT;4
SERQUES;6
SERVINS;1
SIBIVILLE;1
SIMENCOURT;1
SOUASTRE;0
SOUCHEZ;1
SUS ST LEGER;1
TANGRY;0
TARDINGHEM;1
TATINGHEM;1
TERNAS;6
THELUS;6
THIEVRES;1
TILLOY LES HERMAVILLE;1
TILLOY LES MOFFLAINES;0
TILLY CAPELLE;1
TINCQUES;1
TORTEFONTAINE;0
TORTEQUESNE;1
TREPIED;1
TUBERSENT;1
VACQUERIE LE BOUCQ;1
VACQUERIETTE ERQUIERES;2
VALHUON;6
VAUDRICOURT;1
VELU;2
VERLINCTHUN;4
VERMELLES;4
VERQUIN;1
VIEIL HESDIN;2
VILLERS AU BOIS;1
VILLERS AU FLOS;1
VILLERS BRULIN;1
VILLERS L'HOPITAL;1
VIMY;4
WABEN;1
WAILLY LES ARRAS;1
WANCOURT;6
WARLINCOURT LES PAS;1
WARLUS;1
WARLUZEL;6
WAVANS SUR L'AUTHIE;1
WAVRANS SUR L'AA;0
WAVRANS SUR 1E;3
WIERRE AU BOIS;1
WIERRE EFFROY;1
WINGLES;6
WIRWIGNES;6
WISQUES;3
WISSANT;6
WITTERNESSE;6
ZOTEUX;0
